id,name,brand,barcode,category,serving_size,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,is_verified,created_by,created_at,name_tr,category_tr
0040297a-3b93-47fa-a50e-76ca5b6e4cd5,Mushroom Soup,New Covent Garden Soup Co,5056053305789,fruits,0.5 pack (280 g),36,1.3,4.8,1.1,0.9,0.2,186.0,true,,2026-02-14 19:21:44.598161+00,Mantar çorbası,meyveler
00426ae8-5c9d-44ef-8f4f-859fddf0102f,Monster Energy - Ultra Watermelon,Monster Energy,5060896621326,beverages,100g,3,0.0,1.3,0.0,,0.0,40.0,true,,2026-02-14 19:22:53.051199+00,Monster Energy - Ultra Karpuz,içecekler
0044e056-2af9-4df5-9e25-23fc1ef27c0a,British matured grated cheddar,Emporium,4088600046785,dairy,1 portion (30 g),415,25.0,1.4,34.3,,0.1,700.0,true,,2026-02-14 19:36:38.434398+00,İngiliz olgunlaştırılmış rendelenmiş çedar peyniri,günlük
00456dc2-9884-4a31-9f7e-a2faabc2973a,Skyr nature,Siggi's,3023290032282,dairy,140 g,54,10.0,3.5,0.0,,3.5,40.0,true,,2026-02-14 19:35:53.766216+00,Skyr doğası,günlük
0047b104-1043-45cd-b812-65aca149ed33,simple ingredient skyr vanilla,siggi's,898248001428,dairy,0.75 cup (170 g),71,10.6,7.7,0.0,0.0,5.9,35.3,true,,2026-02-14 19:21:48.24307+00,basit madde skyr vanilya,günlük
004efee6-cbbc-4426-acf5-5280d35f86dc,Royale Taurine Energy Drink,,3119073506863,beverages,100g,2,0.0,0.0,0.0,,0.0,4.0,true,,2026-02-14 19:22:54.999822+00,Royale Taurin Enerji İçeceği,içecekler
004f820c-ac20-479a-a374-50946b28362d,Jus d orange,Joker,3123340008035,beverages,200g,42,0.6,8.6,0.0,0.0,8.6,0.0,true,,2026-02-14 19:42:22.270104+00,Portakal suyu,içecekler
00539188-ba82-4639-80f6-d792d7cef150,Thick natural skyr,Co-op,5000129290424,dairy,1 portion (150 g),62,11.0,3.9,0.1,,3.9,31.0,true,,2026-02-14 19:37:40.984219+00,Kalın doğal skyr,günlük
005a0abd-8614-499e-be67-54a37a19261a,Skyr,Arla,5000181039580,dairy,1 portion (100 g),60,10.0,4.0,0.2,0.0,4.0,140.0,true,,2026-02-14 19:35:43.425762+00,Gökyüzü,günlük
00677474-f4b1-45d3-9065-3b955756892f,HERTA LE BON PARIS Jambon broche x4 - 140g,"HERTA, Le Bon Paris",3154230809746,protein,35 g (1 tranche),105,19.0,0.6,2.9,0.0,0.4,800.4,true,,2026-02-14 19:34:22.981503+00,HERTA LE BON PARIS Jambon broş x4 - 140g,protein
006b40ed-ad8f-48db-8922-2d77b4c1df99,Chicken Satay Skewers,Select & Go,4056489385202,protein,10g,210,16.0,6.0,16.0,1.7,3.0,560.0,true,,2026-02-14 19:31:23.864606+00,Tavuk Satay Şişleri,protein
00731513-ef35-40da-a3a7-f456d6613bcd,Dulcinea,Dulcinea,8410510050044,snacks,100g,539,3.3,61.0,31.0,1.5,60.0,96.0,true,,2026-02-14 19:44:27.698504+00,Dulcinea,atıştırmalıklar
00750eca-74c7-45a6-abc3-e85ff96cb44f,10% fat british beef mince,,5000169330272,protein,100g,170,20.3,0.0,9.9,,0.0,80.0,true,,2026-02-14 19:32:33.759499+00,%10 yağlı İngiliz sığır kıyması,protein
007b34e1-8c78-446a-9720-e0d989b2daa5,Extreme energy drink,"Lidl,Kong Strong",4056489637219,beverages,100g,4,0.4,0.1,0.0,0.0,0.0,76.0,true,,2026-02-14 19:27:00.540749+00,Aşırı enerji içeceği,içecekler
007c7ce5-e994-44a0-9ebb-c72c042fceda,Wholegrain Wheat Bixies,Crownfield,20471613,snacks,2 biscuits (40 g),362,12.7,67.8,2.3,9.5,3.0,90.0,true,,2026-02-14 19:40:38.241087+00,Tam Tahıllı Buğday Bixies,atıştırmalıklar
0082b1de-2b75-4e80-94e7-d4382a9bca6a,Tortitas de arroz con chocolate blanco,Hacendado,8480000141415,grains,30 g,467,7.3,63.0,20.0,3.0,29.0,288.0,true,,2026-02-14 19:39:52.888009+00,Beyaz çikolatalı pirinç kekleri,tahıllar
00836590-49c9-422b-b6fd-d936e55b2b36,Erbsen und Karotten,Freshona,20425685,vegetables,1 serving (100 g),38,2.4,4.2,0.5,3.7,1.5,20.0,true,,2026-02-14 19:28:52.195136+00,bezelye ve havuç,sebze
00844278-ce00-43db-b255-dd3f87890025,Salsa Bolognese,Hacendado,8402001008139,grains,290 g,122,5.3,9.6,6.7,,6.5,640.0,true,,2026-02-14 19:39:10.072236+00,Bolonez Sosu,tahıllar
008691c3-905d-4960-9ea1-6d5f77f865b2,Rice drink,"The Bridge,the bridge la familiglia organic",8019428000013,beverages,100 g,65,0.5,13.0,1.3,0.0,4.8,40.0,true,,2026-02-14 19:39:52.888009+00,Pirinç içeceği,içecekler
008c96d0-241c-4340-95d1-fd18f93a2208,Rostlinná slanina,La Vie,3770018078038,vegetables,75 g,218,15.0,4.3,15.0,3.2,1.2,880.0,true,,2026-02-14 19:20:51.143668+00,Sebzeli pastırma,sebze
009725c5-0ba7-4861-9382-bce01db25497,carottes râpées,"Marque Repère, Menu Fraîcheur",3564700330838,snacks,100g,82,1.0,6.1,4.5,2.9,5.4,120.0,true,,2026-02-14 19:34:18.019637+00,rendelenmiş havuç,atıştırmalıklar
00994a98-b5da-4caf-b08f-0824f05ef8ee,Seeded Sourdough Half Bloomer,Sainsbury's,363174,grains,1 portion (100 g),274,10.2,44.5,5.2,4.1,1.6,393.0,true,,2026-02-14 19:37:57.315099+00,Çekirdekli Ekşi Mayalı Yarım Açıcı Ekmek,tahıllar
009c22d7-73f0-44d5-890c-cd008e6f3e28,Parmigiano Reggiano PDO,Deluxe,4056489162315,dairy,25g,402,32.0,0.1,29.7,0.0,0.1,640.0,true,,2026-02-14 19:36:34.997133+00,Parmigiano Reggiano PDO,günlük
00a253c2-5020-4b21-a66f-9916afd0b6dc,B-ready 6 pièces,Ferrero,8000500227848,snacks,22 g,521,7.2,60.7,27.0,,47.1,223.6,true,,2026-02-14 19:44:49.269859+00,B-ready 6 parça,atıştırmalıklar
00a52a05-4836-4de3-b21e-ea48f0bb0286,Risotto poulet et champignons,Ben's Original,3487400005823,protein,100 g,128,3.7,22.0,2.4,0.8,0.0,212.0,true,,2026-02-14 19:31:13.900917+00,Tavuklu ve mantarlı risotto,protein
00b8012a-47e2-4547-9288-20aadc99ab5f,Original Dairy-Free Coffee Creamer,nut pods,859922007587,beverages,1 serving (15 g),67,0.0,0.0,6.7,,,0.0,true,,2026-02-14 19:43:04.763447+00,Orijinal Süt İçermeyen Kahve Kreması,içecekler
00baf1c0-050a-48ee-9598-cfadb41532fa,Lachsschinken geräuchert,"Aldi,Gut Drei Eichen,Zimmermann",4061458015288,protein,100g,118,24.0,1.0,2.0,,0.9,1360.0,true,,2026-02-14 19:34:26.639338+00,füme somon jambon,protein
00bb46a0-f7ca-4c9b-b116-6c8ac518815a,Poêlée Méditerranéenne 750g,Bonduelle,3083681117011,vegetables,150g,77,2.0,10.0,2.7,2.5,3.5,248.0,true,,2026-02-14 19:22:01.5504+00,Akdeniz Usulü Sote 750g,sebze
00bd762a-49b1-48c9-b1bb-9b9fcfa50ff4,Turkey & trimmings,Tesco,3278338,protein,1 sandwich 🥪 (215 g),211,13.9,27.1,4.6,2.6,3.3,362.0,true,,2026-02-14 19:34:14.379625+00,Hindi ve garnitürler,protein
00bff0f9-4782-44c4-a1c9-1d8d0577ac7d,Colin d'Alaksa sauce beurre citron 400g,U,3256224160687,protein,200 g,97,9.4,3.0,5.3,0.5,1.0,296.0,true,,2026-02-14 19:33:07.184324+00,Colin d'Alaksa limonlu tereyağı sosu 400g,protein
00c3462e-6e97-40dd-b49d-f2ae35777023,Sleep,Twinings,70177178505,beverages,1.5g,1,0.0,0.5,0.0,,0.5,0.0,true,,2026-02-14 19:43:23.510257+00,Uyumak,içecekler
00c3915b-5136-4132-95a8-f92305df5d9c,Miso Soup,"Vitasia, Lidl",4056489918868,other,0.5 portion (100 g),129,5.6,24.0,0.7,,1.5,1.8,true,,2026-02-14 19:28:44.185835+00,Miso Çorbası,diğer
00c78b4d-28df-4df9-a50a-c05dbf2959be,Filet de poulet rôti,Fleury Michon,3302740059643,protein,100g,117,23.0,0.8,2.4,,0.8,600.0,true,,2026-02-14 19:31:35.222444+00,Fırında pişmiş tavuk filetosu,protein
00cb353d-b043-440c-a886-90a994d925bf,Poivrons grillés,Freshona,20039882,vegetables,1 portion (100 g),39,0.6,6.8,0.5,0.9,6.1,1.2,true,,2026-02-14 19:21:59.889393+00,Izgara biberler,sebze
00d70b4d-05c8-46ff-a848-f070e89771d4,Thai chilli chicken soup,,5050665031180,protein,100g,41,1.3,8.0,0.3,,0.5,256.0,true,,2026-02-14 19:31:35.222444+00,Tayland usulü acılı tavuk çorbası,protein
00da3528-6326-4986-8897-2cbb1cb2c79f,Kalkkunaleike Ohuen Ohut,Atria,6407810017947,protein,6 g,92,15.0,2.0,3.0,0.2,0.2,747.0,true,,2026-02-14 19:34:14.379625+00,Hindi Pirzola İnce İnce,protein
00db5b24-65bd-4009-9569-b38aff6eb9f7,Strong White Bread Flour,"Essential Waitrose, Waitrose",5000169009963,grains,100g,352,11.0,71.0,2.2,2.9,1.8,4.0,true,,2026-02-14 19:38:29.417084+00,Güçlü Beyaz Ekmek Unu,tahıllar
00debb54-6cb4-4f90-be81-f2b462dd0a8f,Le Bio Orange,Pressade,3254691586085,beverages,100g,34,0.5,8.2,0.0,0.5,8.2,0.0,true,,2026-02-14 19:21:44.598161+00,Organik Portakal,içecekler
00e1a3ed-39e2-44d2-b578-a630eaa843f4,Donut milky,,6111259343023,snacks,100g,441,5.5,51.8,23.6,,23.4,132.0,true,,2026-02-14 19:45:01.59707+00,Donut sütlü,atıştırmalıklar
00e3a4a3-1bf6-4cbc-8ea1-b2fcd4563c0a,British beef mince 20% fat,"Aldi,Ashfields",4088600090573,protein,1 serving (100 g),260,20.0,0.5,20.0,0.5,0.5,76.0,true,,2026-02-14 19:32:00.573851+00,İngiliz dana kıyması %20 yağ oranıyla,protein
00e6297c-037d-440b-9071-9a9c6832931e,beef Bolognaise,Marks & Spencer,29147304,protein,1 serving (100 g),170,9.2,12.9,8.8,1.1,1.5,256.0,true,,2026-02-14 19:32:33.759499+00,Dana Bolognese,protein
00f0a9e0-0022-4803-a73f-fe311736af1b,Naturis Apple Juice,,20913298,beverages,150ml,47,0.1,11.0,0.0,0.0,11.0,0.0,true,,2026-02-14 19:42:38.370005+00,Doğal Elma Suyu,içecekler
00f0fcf4-98ed-4803-9a8a-3700e90218d8,yaourt à la rhubarbe,Bonne Maman,3608580082729,dairy,100g,104,3.3,15.3,3.1,0.7,14.6,40.0,true,,2026-02-14 19:37:40.984219+00,raventli yoğurt,günlük
00f61c11-3aa5-4c62-a97c-c18f3f126630,Cappuccino Family mit feiner Kakaonote,"ja!,Rewe,Krueger",4337256003896,beverages,150 ml zubereitet,31,0.4,6.4,0.3,,5.4,44.0,true,,2026-02-14 19:42:49.908294+00,Hafif kakao notasıyla Cappuccino ailesi,içecekler
00f76766-99ea-4360-9747-bd04920e2779,Lipton Thé Vert Menthe Intense 20 Sachets,"Lipton, Unilever",3228881011138,beverages,100ml,4,0.5,0.5,0.0,0.0,0.5,0.0,true,,2026-02-14 19:43:25.754789+00,Lipton Yoğun Nane Aromalı Yeşil Çay 20 Poşet,içecekler
00fa81c0-8321-4aa4-a73a-ff7470f8d021,Tobigo,Tobigo,6111262385942,snacks,100g,402,5.4,51.7,16.0,,33.0,0.0,true,,2026-02-14 19:45:08.671078+00,Tobigo,atıştırmalıklar
00fc3396-04ce-4843-9b7f-0e37acd4ae6e,NAKED 6 SMOKED BACK BACON RASHERS,FINNEBROGUE,5060055251272,protein,2 rashers (38 g),237,28.0,1.1,13.0,0.0,1.1,1090.0,true,,2026-02-14 19:34:18.019637+00,6 DİLİM FÜME SIRT PASTIRMASI,protein
00fca812-6b90-444c-930d-574b9efe2a38,tortilla wraps multigrain,Dajo,5900928002788,grains,250g,305,9.1,50.0,6.5,,1.9,440.0,true,,2026-02-14 19:38:29.417084+00,çok tahıllı tortilla dürüm,tahıllar
00fdad8e-5752-46bb-b640-189633d2c37b,Duchy Organic Brown Seeded Bloomer,"Duchy Organic,Waitrose",5000169154137,grains,100g,282,12.9,32.9,9.3,7.4,3.2,320.0,true,,2026-02-14 19:38:15.218027+00,Duchy Organik Kahverengi Tohumlu Çiçek,tahıllar
010a2719-5981-4093-970f-2b04e5f53c4e,6111126004347,Chergui,6111126004347,dairy,100g,91,3.2,13.0,2.9,0.0,9.0,64.0,true,,2026-02-14 19:37:19.897643+00,6111126004347,günlük
01115ad3-ff55-4f70-99a4-aeea58e82b9a,Ton pew,lidl,4056489664239,beverages,100g,49,0.0,11.6,0.0,,11.6,44.0,true,,2026-02-14 19:22:54.999822+00,Ton sırası,içecekler
01124acc-9085-4329-b178-3bf507fb7021,boisson au jus ananas,delice,6191534803404,beverages,100g,43,0.1,10.8,0.1,0.1,10.8,40.0,true,,2026-02-14 19:42:29.248299+00,ananas suyu içeceği,içecekler
01155613-0ed8-416f-9ab8-b37ed978a44a,Tesco golden yoker,golden yolker,5000326011624,protein,1 serving (100 g),131,12.6,0.3,9.0,,0.3,153.0,true,,2026-02-14 19:33:41.617106+00,Tesco altın boyunduruğu,protein
0115b881-a876-41b7-b9fa-9a60ec7c833c,Yogur sabor macedonia,Danone,8410500006143,dairy,120g,77,3.0,11.9,1.9,,11.9,44.0,true,,2026-02-14 19:37:30.153535+00,Meyve salatası aromalı yoğurt,günlük
011611cd-1881-413d-b615-ea8644b1e78a,Southern Fried Chicken with Creamy Coleslaw,Sainsburys On The Go,509121,protein,1 serving (230 g),220,7.4,26.4,9.1,2.0,2.5,236.0,true,,2026-02-14 19:31:37.888255+00,Güney Usulü Kızarmış Tavuk ve Kremalı Lahana Salatası,protein
01162723-9642-4aa7-8d8e-2ca14adfd7e2,sweet chilli smoked salmon fillets,Tesco,5053526662318,protein,90g,240,23.0,3.1,15.0,0.5,1.4,0.9,true,,2026-02-14 19:34:40.502705+00,tatlı acı soslu füme somon filetosu,protein
01163255-1c93-4ccd-8841-3d9cc74c9b04,Lipton Sodastream Saveur Peche ice Tea,sodastream,8719128117836,beverages,100g,13,0.0,3.0,0.0,0.0,2.9,80.0,true,,2026-02-14 19:43:41.677789+00,Lipton Sodastream Saveur Peche buzlu çay,içecekler
01184aa5-a22b-4d40-bbe5-184bb47a5592,Chicken Noodle,Lipton,68400014294,other,0.25 pouch (21 g),333,9.5,71.4,2.4,4.8,4.8,3380.0,true,,2026-02-14 19:28:44.185835+00,Tavuklu Erişte,diğer
011b41d9-e2a0-4b11-8d64-cb7ce9f94c9a,Hot Cup Tomato Soup with Noodles,Knorr,8712100867118,other,100g,34,1.2,6.4,0.5,0.6,2.4,372.0,true,,2026-02-14 19:28:50.830989+00,Erişteli Sıcak Domates Çorbası,diğer
011c4e80-9b8e-4b20-a685-210610dfa781,Slow-Cooked Beef Ragu with “Vino Chianti DOP” Ravioli,Tesco Finest,5059697712371,protein,1 serving (150 g),214,8.2,26.3,8.0,2.0,3.4,328.0,true,,2026-02-14 19:31:56.124568+00,Yavaş Pişirilmiş Dana Ragu ve “Vino Chianti DOP” Ravioli,protein
011d0f0c-2bde-40a1-97e5-f49e422c0d84,"Tarte saumons, poireaux à la crème fraiche",Auchan,3596710457540,protein,100g,197,9.0,20.0,8.8,1.0,2.4,308.0,true,,2026-02-14 19:33:10.615255+00,Kremalı somon ve pırasalı tart,protein
011e8225-a228-48a9-9067-cc9d48450834,Oatmeal Chocolate Chip,Quest,888849004621,snacks,1 bar (60 g),300,20.0,24.0,7.0,14.0,1.0,210.0,true,,2026-02-14 19:41:09.442895+00,Yulaf Ezmesi Çikolata Parçacıklı,atıştırmalıklar
01210b5b-4f71-4ede-b84d-2cd582d43975,Blanc de poulet sup fume 4t 120g,Monique Ranou,3250390288985,protein,100g,103,21.0,1.0,1.9,0.5,1.0,760.0,true,,2026-02-14 19:31:35.222444+00,"Füme tavuk göğsü, 4 parça, 120 gr",protein
0124eb13-638a-4ff9-849f-3cfef77f8597,Brown basmati rice,tilda,8901144601004,protein,1 portion (60 g),352,8.7,71.2,2.8,3.3,1.2,20.0,true,,2026-02-14 19:40:26.38005+00,Kahverengi basmati pirinci,protein
0126a582-dd35-4670-828c-50a179815ada,Rice cakes,Lima,5411788002509,grains,100g,393,7.8,82.0,3.2,2.4,0.0,0.0,true,,2026-02-14 19:40:16.383187+00,Pirinç kekleri,tahıllar
012ec10e-c085-4d9c-91ce-6b7be2f6a62b,Spaghetti,GALLO,8410069018960,grains,100g,344,12.0,68.0,2.0,3.0,3.5,12.0,true,,2026-02-14 19:39:32.32152+00,Spagetti,tahıllar
01352801-f416-4431-b3f1-48eccb4072f3,Jus d'orange du matin sans pulpe,Joker,3123349013870,beverages,150mL,42,,8.6,0.0,,8.6,4.0,true,,2026-02-14 19:42:35.776669+00,Posasız sabah portakal suyu,içecekler
0137ea4c-9c77-48ff-af85-c54f733a0361,Cake Moeles,St Michel,3178530411485,snacks,30 g,438,5.0,49.0,26.0,1.2,21.0,368.0,true,,2026-02-14 19:45:34.289883+00,Moeles Kek,atıştırmalıklar
013b5c65-4ad1-4d72-870f-8b2ae2607549,British Dry Cured Streaky Bacon 16 Rashers,TESCO finest,5051399038643,protein,2 rashers (30 g),243,21.0,0.6,17.4,0.0,0.1,1310.0,true,,2026-02-14 19:34:22.981503+00,İngiliz Kuru Kürlenmiş Yağlı Domuz Pastırması (16 Dilim),protein
01456fc2-8f1c-4727-afed-b35848ad18bb,Brown Rice Crips,"Nova, Snack Day",20962517,grains,60 g,463,8.0,68.0,17.0,2.9,2.4,389.0,true,,2026-02-14 19:39:58.398916+00,Kahverengi Pirinç Cipsleri,tahıllar
0146c92e-ba8e-4bca-9c99-896d1645ed13,Tuna Chunks in Brine,,5057691001613,protein,100g,109,25.0,0.0,1.0,,0.0,400.0,true,,2026-02-14 19:35:12.539306+00,Tuzlu suda bekletilmiş ton balığı parçaları,protein
014bfabf-1c6d-4809-820d-fdc9aeed6ace,BRITISH LEAN BEEF STEAK MINCE 5% FAT,TESCO,5053526954062,protein,1 serving (100 g),130,21.9,0.0,4.2,0.0,0.0,90.0,true,,2026-02-14 19:31:42.055062+00,İngiliz Yağsız Dana Kıyma %5 Yağ,protein
0154eab3-88b6-4a15-ae6d-2debee92732b,Canned Tuna Steak,Garcia,769503575124,protein,100 g,176,33.1,0.9,4.4,,,0.0,true,,2026-02-14 19:35:06.075205+00,Konserve Ton Balığı Bifteği,protein
0155ebe0-0c49-4826-ab8f-306552b559a0,Protein Sweet & Sour Chicken,INSPIRED CUISINE,4061462108532,protein,1 meal (380 g),352,30.6,44.3,5.1,3.5,14.0,536.0,true,,2026-02-14 19:31:37.888255+00,Proteinli Tatlı Ekşi Tavuk,protein
01561a5c-8832-49f1-8d48-76942a20b55b,Smoked Salmon,"Grand food,Lidl",6420103025023,protein,100.0g,183,19.2,0.4,11.5,0.0,0.0,1036.0,true,,2026-02-14 19:34:40.502705+00,Füme Somon,protein
0164011d-07aa-4416-b4a3-2140269b02b3,Vine Leaves stuffed with rice,Dolmas,507523,grains,84 g,170,2.8,17.0,8.5,2.8,1.4,595.0,true,,2026-02-14 19:40:16.383187+00,Pirinçle doldurulmuş asma yaprakları,tahıllar
016a254b-8ad6-43ba-84a7-3486cf62784a,Perle de lait Multi-variétés Vanille Citron Amande Coco 2 x (4 x 125 g),Yoplait,3329770075092,dairy,100g,130,2.5,13.2,7.1,0.0,11.7,40.0,true,,2026-02-14 19:37:43.332543+00,Perle de lait Çok Çeşitli Vanilya Limon Badem Hindistan Cevizi 2 x (4 x 125 g),günlük
016a826c-36d5-405e-8ab5-34d8874aa2dd,Exotic Energise Smoothie,Innocent,5038862002691,beverages,150 ml,47,0.2,11.0,0.0,0.9,9.9,0.0,true,,2026-02-14 19:42:22.270104+00,Egzotik Enerji Smoothie'si,içecekler
016f5ca5-a4e9-4b3a-874f-6bb4307a65ac,Sunflower oil,Aldi,4088600112510,vegetables,15 ml,828,0.5,0.5,92.0,0.5,0.5,4.0,true,,2026-02-14 19:23:21.103234+00,Ayçiçek yağı,sebze
017576b1-3a2c-4902-ba54-70f4c12ade27,Coulommiers,"CF&R, Coeur de Lion, Savencia",3176582044675,dairy,30g,287,19.0,1.0,23.0,,0.5,560.0,true,,2026-02-14 19:36:43.565979+00,Coulommiers,günlük
0177549b-ed4b-486a-b66e-c6b50adfbf16,LOTUS BISCOFF Speculoos Fourré - Crème saveur Chocolat - 150g,Lotus,5410126006353,snacks,1 serving (10 g),504,4.9,67.0,24.0,1.8,41.0,284.0,true,,2026-02-14 19:44:54.047852+00,LOTUS BISCOFF Speculoos Dolgulu Kurabiyeler - Çikolata Aromalı Krema - 150g,atıştırmalıklar
018111de-71c4-43fd-9ea2-58bc5f8ea88c,Spaghetti au Quinoa Persil Ail,"Jardin Bio, Jardin biologique, Léa Nature",3478820600651,grains,100g,381,12.0,76.0,2.2,4.7,2.1,10.0,true,,2026-02-14 19:38:33.7193+00,"Kinoa, Maydanoz ve Sarımsaklı Spagetti",tahıllar
01843a57-6ab4-463a-b107-36afb3605c5a,HOT Chicken Flavor Ramen,Buldak cream carbonara,8801073114814,protein,1 portion (140 g),407,7.1,59.3,15.7,1.4,8.6,1220.0,true,,2026-02-14 19:31:21.874077+00,Acılı Tavuk Aromalı Ramen,protein
0184927b-c578-4b04-9fcc-b8792a0e0229,Strawberries & Bananas,Innocent,5038862320108,beverages,1 bottle (250 ml),48,0.5,12.1,0.1,1.1,10.0,0.0,true,,2026-02-14 19:21:59.889393+00,Çilek ve Muz,içecekler
01850e59-ee7d-4dae-8d05-95a908aa90b2,4 nems aux crevettes et au merlu,Toque du Chef,4056489843122,protein,100g,183,6.4,22.0,6.8,1.9,3.1,560.0,true,,2026-02-14 19:35:18.093975+00,Karides ve mezgit balığı ile doldurulmuş 4 adet yay böreği,protein
0189c934-0f16-4406-a764-22485a5dab46,Ghilal,Jaouda,6111242101982,dairy,100g,106,3.5,16.0,3.0,0.0,7.5,0.0,true,,2026-02-14 19:21:42.041408+00,Ghilal,günlük
018ba8cc-35d8-4e86-bcc1-e3e772d8104e,Reeses Peanut Butter Ice Cream With Reese's Peanut Butter Cup Pieces And A Fudge Swirl,"Breyers,  Unilever",77567201744,dairy,74 g (0.5 cup),230,4.1,27.0,12.2,1.4,20.3,116.8,true,,2026-02-14 19:25:15.00999+00,"Reese's Fıstık Ezmeli Dondurma, Reese's Fıstık Ezmeli Çikolata Parçaları ve Çikolata Sosu ile.",günlük
018d028e-aa66-46c1-bfca-1d7f8801eb3d,La galette fourrée,St Michel,3178530423150,snacks,20g,492,6.4,68.0,21.0,2.7,35.0,156.0,true,,2026-02-14 19:45:08.671078+00,İçi doldurulmuş galette,atıştırmalıklar
